car_id,data_compra,nome_cliente,genero,renda_anual,concessionaria,empresa,modelo,motor,transmissao,cor,preco,numero_concessionaria,estilo_carro,telefone,regiao_concessionaria,faixa_renda,faixa_preco
C_CND_000014,2022-01-02,Harrison,M,13500.0,Scrivener Performance Engineering,BMW,323i,Double Overhead Camshaft,Auto,PALE WHITE,15000.0,38701-8047,Hatchback,7558767,GREENVILLE,Baixa,Baixo
C_CND_000015,2022-01-02,Zainab,M,722000.0,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,PALE WHITE,26000.0,06457-3834,Sedan,7677191,MIDDLETOWN,Média,Médio
C_CND_000016,2022-01-02,Zara,M,746000.0,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,PALE WHITE,17000.0,60504-7114,Hatchback,8431908,AURORA,Alta,Baixo
C_CND_000017,2022-01-02,Zoe,F,535000.0,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Manual,BLACK,18000.0,38701-8047,Hatchback,7814646,GREENVILLE,Média,Baixo
C_CND_000018,2022-01-02,Zoey,F,570000.0,Chrysler of Tri-Cities,Cadillac,Eldorado,Double Overhead Camshaft,Auto,PALE WHITE,31000.0,99301-3882,Passenger,7456650,PASCO,Média,Médio
C_CND_000019,2022-01-02,Aaliyah,M,685000.0,Chrysler Plymouth,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,PALE WHITE,33000.0,53546-9427,SUV,7627010,JANESVILLE,Média,Médio
C_CND_000020,2022-01-02,Abigail,M,455000.0,Classic Chevy,Honda,Accord,Double Overhead Camshaft,Auto,PALE WHITE,21000.0,85257-3102,Sedan,6736704,SCOTTSDALE,Média,Médio
C_CND_000021,2022-01-02,Adrianna,M,13500.0,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,BLACK,25000.0,78758-7841,Sedan,7889827,AUSTIN,Baixa,Médio
C_CND_000022,2022-01-02,Joshua,M,2500000.0,Classic Chevy,Infiniti,I30,Double Overhead Camshaft,Auto,BLACK,21000.0,85257-3102,Hardtop,6183219,AUSTIN,Premium,Médio
C_CND_000023,2022-01-02,Marcus,M,585000.0,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Manual,PALE WHITE,12000.0,06457-3834,Hardtop,8097778,MIDDLETOWN,Média,Baixo
C_CND_000024,2022-01-02,Arthur,M,920000.0,Star Enterprises Inc,Porsche,Carrera Cabrio,Double Overhead Camshaft,Auto,PALE WHITE,18000.0,99301-3882,Passenger,7959858,PASCO,Alta,Baixo
C_CND_000025,2022-01-02,Lizzie,M,672000.0,Suburban Ford,Volkswagen,Jetta,Double Overhead Camshaft,Auto,PALE WHITE,22000.0,53546-9427,Passenger,8570849,JANESVILLE,Média,Médio
C_CND_000026,2022-01-02,Florian,M,801250.0,Tri-State Mack Inc,Dodge,Viper,Double Overhead Camshaft,Auto,PALE WHITE,31250.0,85257-3102,SUV,8520534,SCOTTSDALE,Alta,Médio
C_CND_000027,2022-01-02,Cassandre,F,820000.0,U-Haul CO,Buick,Regal,Double Overhead Camshaft,Auto,BLACK,19000.0,78758-7841,Passenger,6362556,AUSTIN,Alta,Baixo
C_CND_000028,2022-01-02,Syrielle,M,791000.0,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Manual,PALE WHITE,41000.0,53546-9427,Hatchback,6281210,JANESVILLE,Alta,Alto
C_CND_000029,2022-01-02,Sloane,M,13500.0,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,PALE WHITE,41000.0,78758-7841,Hatchback,6292720,JANESVILLE,Baixa,Alto
C_CND_000030,2022-01-02,Sofia,M,1020000.0,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,PALE WHITE,13000.0,06457-3834,Hatchback,7698986,SCOTTSDALE,Alta,Baixo
C_CND_000031,2022-01-02,Sophia,M,210000.0,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,PALE WHITE,20000.0,60504-7114,Sedan,8847858,AUSTIN,Baixa,Baixo
C_CND_000032,2022-01-02,Sophie,M,750000.0,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,PALE WHITE,14000.0,38701-8047,Hatchback,8344679,MIDDLETOWN,Alta,Baixo
C_CND_000033,2022-01-02,Stella,M,635000.0,Star Enterprises Inc,Honda,Accord,Double Overhead Camshaft,Auto,PALE WHITE,19000.0,99301-3882,Sedan,6827044,AURORA,Média,Baixo
C_CND_000034,2022-01-02,Suri,M,675000.0,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,BLACK,43000.0,85257-3102,Hatchback,7954038,GREENVILLE,Média,Alto
C_CND_000035,2022-01-02,Sury,M,880000.0,U-Haul CO,Jaguar,S-Type,Double Overhead Camshaft,Auto,BLACK,16000.0,78758-7841,Passenger,7400390,PASCO,Alta,Baixo
C_CND_000036,2022-01-03,Haley,M,13500.0,Diehl Motor CO Inc,Volvo,S40,Double Overhead Camshaft,Auto,PALE WHITE,42000.0,06457-3834,Sedan,7153628,MIDDLETOWN,Baixa,Alto
C_CND_000037,2022-01-03,Hannah,M,13500.0,Enterprise Rent A Car,Mercury,Mountaineer,Double Overhead Camshaft,Auto,PALE WHITE,21000.0,60504-7114,SUV,6125796,AURORA,Baixa,Médio
C_CND_000038,2022-01-03,Haylee,M,13500.0,Gartner Buick Hyundai Saab,Buick,Park Avenue,Double Overhead Camshaft,Auto,BLACK,61000.0,38701-8047,Hatchback,7438037,GREENVILLE,Baixa,Premium
C_CND_000039,2022-01-03,Hayley,M,941000.0,Hatfield Volkswagen,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,PALE WHITE,39000.0,99301-3882,SUV,6837588,PASCO,Alta,Médio
C_CND_000040,2022-01-03,Harry,F,13500.0,Star Enterprises Inc,Nissan,Sentra,Double Overhead Camshaft,Auto,BLACK,16000.0,99301-3882,Passenger,7213857,PASCO,Baixa,Baixo
C_CND_000041,2022-01-03,Henry,M,13500.0,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,PALE WHITE,26000.0,53546-9427,Sedan,7704004,JANESVILLE,Baixa,Médio
C_CND_000042,2022-01-03,Hersh,F,13500.0,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,PALE WHITE,21000.0,85257-3102,Sedan,8018700,SCOTTSDALE,Baixa,Médio
C_CND_000043,2022-01-03,Hershel,M,967500.0,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,BLACK,42500.0,78758-7841,Passenger,6793858,AUSTIN,Alta,Alto
C_CND_000044,2022-01-03,Aicha,M,600000.0,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,BLACK,45001.0,06457-3834,Hatchback,6739543,MIDDLETOWN,Média,Alto
C_CND_000045,2022-01-03,Aisha,M,575000.0,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,BLACK,36001.0,60504-7114,Hatchback,6091237,AURORA,Média,Médio
C_CND_000046,2022-01-03,Aissatou,M,566000.0,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,PALE WHITE,12000.0,38701-8047,Hatchback,6547535,GREENVILLE,Média,Baixo
C_CND_000047,2022-01-03,Alana,M,1250000.0,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,PALE WHITE,21001.0,99301-3882,Hatchback,8689761,PASCO,Premium,Médio
C_CND_000048,2022-01-03,Chloe,M,730000.0,Rabun Used Car Sales,Acura,TL,Double Overhead Camshaft,Auto,PALE WHITE,29000.0,85257-3102,Hatchback,6404807,SCOTTSDALE,Média,Médio
C_CND_000049,2022-01-03,Valentine,M,4060000.0,Race Car Help,Nissan,Altima,Double Overhead Camshaft,Auto,PALE WHITE,20000.0,78758-7841,Hatchback,7117432,AUSTIN,Premium,Baixo
C_CND_000050,2022-01-03,Aurore,M,13500.0,Ryder Truck Rental and Leasing,Cadillac,DeVille,Double Overhead Camshaft,Auto,PALE WHITE,22000.0,06457-3834,SUV,7836930,MIDDLETOWN,Baixa,Médio
C_CND_000051,2022-01-03,Nikita,M,1180000.0,Saab-Belle Dodge,Dodge,Stratus,Double Overhead Camshaft,Auto,PALE WHITE,31000.0,60504-7114,Hatchback,7316398,AURORA,Premium,Médio
C_CND_000052,2022-01-03,Justine,M,1360000.0,Progressive Shippers Cooperative Association No,Audi,A4,Double Overhead Camshaft,Auto,BLACK,27000.0,53546-9427,Hardtop,7680267,AUSTIN,Premium,Médio
C_CND_000053,2022-01-03,Sylvia,F,640000.0,C & M Motors Inc,Mercury,Cougar,Double Overhead Camshaft,Auto,BLACK,33000.0,60504-7114,Hatchback,6402878,SCOTTSDALE,Média,Médio
C_CND_000054,2022-01-03,Chloe,M,615000.0,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,PALE WHITE,14000.0,38701-8047,Hardtop,7890478,MIDDLETOWN,Média,Baixo
C_CND_000055,2022-01-03,Tamar,M,520000.0,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,PALE WHITE,17000.0,99301-3882,SUV,8523869,MIDDLETOWN,Média,Baixo
C_CND_000056,2022-01-04,Hazel,M,1876000.0,Iceberg Rentals,Saturn,SW,Double Overhead Camshaft,Auto,PALE WHITE,25600.0,53546-9427,Passenger,8852693,JANESVILLE,Premium,Médio
C_CND_000057,2022-01-04,Heaven,M,13500.0,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,BLACK,17000.0,85257-3102,Hatchback,6444851,SCOTTSDALE,Baixa,Baixo
C_CND_000058,2022-01-04,Heidi,M,13500.0,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,PALE WHITE,21000.0,78758-7841,SUV,6052630,AUSTIN,Baixa,Médio
C_CND_000059,2022-01-04,Hershy,M,890000.0,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,PALE WHITE,12000.0,06457-3834,Hatchback,8939776,MIDDLETOWN,Alta,Baixo
C_CND_000060,2022-01-04,Hudson,M,1800000.0,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,PALE WHITE,17000.0,60504-7114,Passenger,7177888,AURORA,Premium,Baixo
C_CND_000061,2022-01-04,Amare,M,1330000.0,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,BLACK,36000.0,06457-3834,Hardtop,6139882,JANESVILLE,Premium,Médio
C_CND_000062,2022-01-04,Alexandria,M,393000.0,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,PALE WHITE,17000.0,53546-9427,Hatchback,7181009,JANESVILLE,Média,Baixo
C_CND_000063,2022-01-04,Alexis,M,440000.0,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,PALE WHITE,41000.0,85257-3102,Hatchback,7936565,AUSTIN,Média,Alto
C_CND_000064,2022-01-04,Alyssa,F,280000.0,Nebo Chevrolet,Audi,A6,Double Overhead Camshaft,Auto,BLACK,14000.0,06457-3834,SUV,7419754,MIDDLETOWN,Baixa,Baixo
C_CND_000065,2022-01-04,Coline,M,1151000.0,Scrivener Performance Engineering,Dodge,Intrepid,Double Overhead Camshaft,Auto,PALE WHITE,31100.0,38701-8047,Sedan,8637804,GREENVILLE,Alta,Médio
C_CND_000066,2022-01-04,Annaelle,M,1650000.0,Star Enterprises Inc,Buick,Park Avenue,Double Overhead Camshaft,Auto,BLACK,61000.0,99301-3882,Hatchback,8380613,PASCO,Premium,Premium
C_CND_000067,2022-01-04,Anais,M,13500.0,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,BLACK,26000.0,53546-9427,SUV,6595676,JANESVILLE,Baixa,Médio
C_CND_000068,2022-01-04,Taylor,M,895000.0,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,BLACK,12000.0,53546-9427,Passenger,7244029,AURORA,Alta,Baixo
C_CND_000069,2022-01-04,Tessa,F,660000.0,Classic Chevy,Volvo,S40,Double Overhead Camshaft,Auto,PALE WHITE,42000.0,85257-3102,Sedan,6741165,GREENVILLE,Média,Alto
C_CND_000070,2022-01-04,Toby,M,13500.0,Clay Johnson Auto Sales,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,PALE WHITE,21000.0,78758-7841,Hatchback,8822935,PASCO,Baixa,Médio
C_CND_000071,2022-01-05,Heidy,M,1636000.0,Nebo Chevrolet,Cadillac,DeVille,Double Overhead Camshaft,Auto,PALE WHITE,22600.0,06457-3834,SUV,8026457,MIDDLETOWN,Premium,Médio
C_CND_000072,2022-01-05,Helen,F,1000000.0,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,PALE WHITE,45000.0,60504-7114,Passenger,8872334,AURORA,Alta,Alto
C_CND_000073,2022-01-05,Imani,F,745000.0,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,BLACK,25000.0,38701-8047,SUV,6204993,GREENVILLE,Alta,Médio
C_CND_000074,2022-01-05,Ingrid,M,300000.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Double Overhead Camshaft,Auto,PALE WHITE,62000.0,99301-3882,Sedan,7031644,PASCO,Baixa,Premium
C_CND_000075,2022-01-05,Irene,M,1097000.0,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Double Overhead Camshaft,Auto,BLACK,22700.0,53546-9427,Passenger,7179280,JANESVILLE,Alta,Médio
C_CND_000076,2022-01-05,Iris,F,542000.0,Rabun Used Car Sales,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,BLACK,45000.0,85257-3102,SUV,6245275,SCOTTSDALE,Média,Alto
C_CND_000077,2022-01-05,Hunter,M,1200000.0,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,BLACK,17000.0,99301-3882,Hatchback,7072635,PASCO,Premium,Baixo
C_CND_000078,2022-01-05,James,M,490000.0,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,BLACK,49000.0,78758-7841,Hardtop,6766211,AUSTIN,Média,Alto
C_CND_000079,2022-01-05,Ilan,M,410000.0,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,BLACK,15000.0,85257-3102,SUV,8011357,SCOTTSDALE,Média,Baixo
C_CND_000080,2022-01-05,Isaac,M,930000.0,Clay Johnson Auto Sales,Acura,TL,Double Overhead Camshaft,Auto,BLACK,28000.0,78758-7841,Hatchback,7539127,AUSTIN,Alta,Médio
C_CND_000081,2022-01-05,Aaron,M,480000.0,Tri-State Mack Inc,Nissan,Pathfinder,Double Overhead Camshaft,Auto,PALE WHITE,46000.0,85257-3102,Hardtop,6559063,GREENVILLE,Média,Alto
C_CND_000082,2022-01-05,Israel,F,1360000.0,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,PALE WHITE,43000.0,60504-7114,Hatchback,8082987,AURORA,Premium,Alto
C_CND_000083,2022-01-05,Amara,M,2200000.0,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Double Overhead Camshaft,Auto,PALE WHITE,41000.0,60504-7114,Sedan,7328070,AURORA,Premium,Alto
C_CND_000084,2022-01-05,Amaya,F,1100000.0,Pars Auto Sales,Chevrolet,Corvette,Double Overhead Camshaft,Auto,PALE WHITE,45000.0,38701-8047,SUV,7078803,GREENVILLE,Alta,Alto
C_CND_000085,2022-01-05,Amelia,M,13500.0,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,PALE WHITE,22001.0,99301-3882,Hatchback,8636283,PASCO,Baixa,Médio
C_CND_000086,2022-01-05,Amia,M,1700000.0,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,PALE WHITE,25001.0,53546-9427,Sedan,7109521,JANESVILLE,Premium,Médio
C_CND_000087,2022-01-05,Amina,M,1908000.0,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,PALE WHITE,12800.0,85257-3102,Sedan,7305344,SCOTTSDALE,Premium,Baixo
C_CND_000088,2022-01-05,Aminata,M,13500.0,Race Car Help,Chrysler,300M,Double Overhead Camshaft,Auto,BLACK,26000.0,78758-7841,SUV,8941079,AUSTIN,Baixa,Médio
C_CND_000089,2022-01-05,Alizee,M,13500.0,Tri-State Mack Inc,BMW,328i,Double Overhead Camshaft,Auto,BLACK,18000.0,85257-3102,Sedan,6136111,SCOTTSDALE,Baixa,Baixo
C_CND_000090,2022-01-05,Caroline,M,2550000.0,U-Haul CO,Oldsmobile,Bravada,Double Overhead Camshaft,Auto,PALE WHITE,19000.0,78758-7841,Hatchback,8001444,AUSTIN,Premium,Baixo
C_CND_000091,2022-01-05,Wadia,M,1245000.0,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,PALE WHITE,22500.0,06457-3834,Sedan,7696195,MIDDLETOWN,Premium,Médio
C_CND_000092,2022-01-05,Mauricio,M,13500.0,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,PALE WHITE,21001.0,78758-7841,Hardtop,8188037,AUSTIN,Baixa,Médio
C_CND_000093,2022-01-05,Maximilian,M,1115000.0,Saab-Belle Dodge,Chrysler,Concorde,Double Overhead Camshaft,Auto,PALE WHITE,46500.0,60504-7114,Hardtop,8351089,AURORA,Alta,Alto
C_CND_000094,2022-01-05,Elisa,M,13500.0,Chrysler of Tri-Cities,Chrysler,300M,Double Overhead Camshaft,Auto,PALE WHITE,16000.0,99301-3882,SUV,6130679,PASCO,Baixa,Baixo
C_CND_000095,2022-01-05,Tzipora,M,2110000.0,Diehl Motor CO Inc,Volvo,V70,Double Overhead Camshaft,Auto,BLACK,39000.0,06457-3834,Passenger,6260413,JANESVILLE,Premium,Médio
C_CND_000096,2022-01-05,Tziporah,F,13500.0,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,BLACK,19000.0,60504-7114,SUV,8750989,SCOTTSDALE,Baixa,Baixo
C_CND_000097,2022-01-05,Tzippy,M,1050000.0,Gartner Buick Hyundai Saab,Chrysler,LHS,Double Overhead Camshaft,Auto,BLACK,26000.0,38701-8047,Hatchback,6784534,AUSTIN,Alta,Médio
C_CND_000098,2022-01-05,Tzivia,M,13500.0,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,BLACK,43000.0,99301-3882,Sedan,7944735,JANESVILLE,Baixa,Alto
C_CND_000099,2022-01-05,Valentina,F,13500.0,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,PALE WHITE,54000.0,53546-9427,Sedan,8099375,SCOTTSDALE,Baixa,Alto
C_CND_000100,2022-01-05,Valerie,M,320000.0,McKinney Dodge Chrysler Jeep,Dodge,Durango,Double Overhead Camshaft,Auto,PALE WHITE,22000.0,85257-3102,SUV,6641303,AUSTIN,Baixa,Médio
C_CND_000101,2022-01-06,Isabel,M,13500.0,Race Car Help,Lexus,ES300,Double Overhead Camshaft,Auto,BLACK,16001.0,78758-7841,SUV,8158584,AUSTIN,Baixa,Baixo
C_CND_000102,2022-01-06,Isabela,F,760000.0,Ryder Truck Rental and Leasing,BMW,328i,Double Overhead Camshaft,Auto,BLACK,16001.0,06457-3834,Sedan,7159142,MIDDLETOWN,Alta,Baixo
C_CND_000103,2022-01-06,Ivan,M,1390000.0,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,PALE WHITE,12000.0,38701-8047,SUV,7495544,GREENVILLE,Premium,Baixo
C_CND_000104,2022-01-06,Abel,M,659000.0,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,BLACK,38000.0,06457-3834,Hardtop,6682438,JANESVILLE,Média,Médio
C_CND_000105,2022-01-06,Amira,M,1330000.0,Ryder Truck Rental and Leasing,Ford,Explorer,Double Overhead Camshaft,Auto,PALE WHITE,42000.0,06457-3834,Hatchback,7189696,MIDDLETOWN,Premium,Alto
C_CND_000106,2022-01-06,Amirah,M,13500.0,Saab-Belle Dodge,Nissan,Pathfinder,Double Overhead Camshaft,Auto,PALE WHITE,21000.0,60504-7114,Hatchback,8844816,AURORA,Baixa,Médio
C_CND_000107,2022-01-06,Mathias,F,13500.0,Chrysler Plymouth,Volvo,C70,Double Overhead Camshaft,Auto,BLACK,49000.0,53546-9427,Hatchback,8002612,JANESVILLE,Baixa,Alto
C_CND_000108,2022-01-06,Noel,M,1362000.0,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,PALE WHITE,21200.0,99301-3882,Hardtop,6633882,PASCO,Premium,Médio
C_CND_000109,2022-01-06,Vanessa,M,480000.0,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,PALE WHITE,71000.0,78758-7841,SUV,8884667,MIDDLETOWN,Média,Premium
C_CND_000110,2022-01-06,Vera,F,365000.0,Nebo Chevrolet,Chevrolet,Camaro,Double Overhead Camshaft,Auto,PALE WHITE,17000.0,06457-3834,Sedan,6759578,AURORA,Baixa,Baixo
C_CND_000111,2022-01-09,Isabella,F,481000.0,Saab-Belle Dodge,Subaru,Outback,Double Overhead Camshaft,Auto,PALE WHITE,57001.0,60504-7114,SUV,6376331,AURORA,Média,Alto
C_CND_000112,2022-01-09,Isabelle,M,700000.0,Scrivener Performance Engineering,Buick,Park Avenue,Double Overhead Camshaft,Auto,PALE WHITE,62001.0,38701-8047,Hatchback,6729016,GREENVILLE,Média,Premium
C_CND_000113,2022-01-09,Isis,M,1350000.0,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,BLACK,69001.0,99301-3882,SUV,7270473,PASCO,Premium,Premium
C_CND_000114,2022-01-09,Itzel,M,750000.0,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,PALE WHITE,20001.0,53546-9427,SUV,7281617,JANESVILLE,Alta,Médio
C_CND_000115,2022-01-09,Yadiel,M,451000.0,McKinney Dodge Chrysler Jeep,Audi,A4,Double Overhead Camshaft,Auto,BLACK,27000.0,85257-3102,Hardtop,7824922,AUSTIN,Média,Médio
C_CND_000116,2022-01-09,Joseph,F,650000.0,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,BLACK,49000.0,78758-7841,Hardtop,8944331,JANESVILLE,Média,Alto
C_CND_000117,2022-01-09,Jake,M,700000.0,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,BLACK,49000.0,78758-7841,Hatchback,7757499,AUSTIN,Média,Alto
C_CND_000118,2022-01-09,James,F,13500.0,Nebo Chevrolet,Lexus,GS400,Double Overhead Camshaft,Auto,BLACK,12000.0,06457-3834,Hatchback,6586288,MIDDLETOWN,Baixa,Baixo
C_CND_000119,2022-01-09,Amiya,F,1220000.0,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,PALE WHITE,25000.0,38701-8047,Hatchback,8486170,GREENVILLE,Premium,Médio
C_CND_000120,2022-01-09,Amiyah,M,1300000.0,Star Enterprises Inc,Chrysler,Concorde,Double Overhead Camshaft,Auto,PALE WHITE,42000.0,99301-3882,Hatchback,6732905,PASCO,Premium,Alto
C_CND_000121,2022-01-09,Angelina,M,470000.0,Suburban Ford,Chrysler,Sebring Coupe,Double Overhead Camshaft,Auto,PALE WHITE,19000.0,53546-9427,Sedan,7212279,JANESVILLE,Média,Baixo
C_CND_000122,2022-01-09,Aniya,F,1167500.0,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,PALE WHITE,26750.0,85257-3102,Hatchback,8144887,SCOTTSDALE,Alta,Médio
C_CND_000123,2022-01-09,Benott,M,3000000.0,Clay Johnson Auto Sales,Cadillac,Eldorado,Double Overhead Camshaft,Auto,PALE WHITE,31000.0,78758-7841,Passenger,8668755,AUSTIN,Premium,Médio
C_CND_000124,2022-01-09,Lucas,M,1900000.0,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,PALE WHITE,49000.0,06457-3834,Hatchback,8892301,MIDDLETOWN,Premium,Alto
C_CND_000125,2022-01-09,Clara,F,1690000.0,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,BLACK,15000.0,60504-7114,SUV,6238423,AURORA,Premium,Baixo
C_CND_000126,2022-01-09,Clara,M,2800000.0,Gartner Buick Hyundai Saab,Mercury,Sable,Double Overhead Camshaft,Auto,PALE WHITE,26000.0,38701-8047,Sedan,7552575,GREENVILLE,Premium,Médio
C_CND_000127,2022-01-09,Alexis,M,642000.0,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,PALE WHITE,17000.0,53546-9427,Hardtop,6278363,GREENVILLE,Média,Baixo
